"Iteration","c_d Monitor: c_d Monitor","c_l Monitor: c_l Monitor"
1.0,0.0,0.0
2.0,0.0732041545047501,0.13196752942499415
3.0,0.11185554479916135,0.16502838002193654
4.0,0.11834077002965648,0.16836809662225435
5.0,0.1177274184151316,0.16670646961151725
6.0,0.1157696077766434,0.1654822941476073
7.0,0.11265454708073736,0.16433037646090046
8.0,0.10807134683574092,0.16232912981635195
9.0,0.10216623267585205,0.15941582117129866
10.0,0.09529718495983058,0.1558389404731076
11.0,0.0878448987595461,0.151848114305944
12.0,0.0801771917347196,0.147695587466857
13.0,0.07267531587815822,0.1436903722363053
14.0,0.06566957664120945,0.1401532207586294
15.0,0.05939290200299518,0.13735630812287156
16.0,0.05397995894936649,0.13549066311021443
17.0,0.049493355691824975,0.1346540833539871
18.0,0.04594975847093085,0.1348484011187255
19.0,0.04333019914654769,0.13599049025396331
20.0,0.04158165771499656,0.1379270252226401
21.0,0.04060984890378236,0.14045607907684612
22.0,0.04026848549231007,0.14335289375598853
23.0,0.04037038127090161,0.14640566021557566
24.0,0.04070964582255334,0.14944388314991996
25.0,0.04108525618878056,0.15234743007704732
26.0,0.04132636392997417,0.15504231910644103
27.0,0.04130324260894846,0.15749344322227718
28.0,0.04093605659397973,0.15969827507231982
29.0,0.04018716494822416,0.1616787667146876
30.0,0.03905083776390131,0.16347199767034074
31.0,0.03754858359540852,0.16512335263106093
32.0,0.03572756791374326,0.1666833936000178
33.0,0.033651460921588404,0.16820369889047698
34.0,0.03139217451339346,0.1697356979787845
35.0,0.029021181043046126,0.17132669541738585
36.0,0.026608885915393645,0.17302163029498288
37.0,0.02421786432150025,0.17485561181054218
38.0,0.02190443813803463,0.17684818656836027
39.0,0.019712561083488858,0.1790039758536449
40.0,0.017681938464048454,0.18131305162903863
41.0,0.01583906070821684,0.18375184078203774
42.0,0.014197058825170483,0.18628237657367408
43.0,0.012758687274025236,0.18885707360120224
44.0,0.011511302756300662,0.19142219224548446
45.0,0.010453614823350455,0.19392509482479223
46.0,0.00955913594951278,0.19631151156572516
47.0,0.008795647253587205,0.1985356151721719
48.0,0.008141189973186823,0.20056327658157785
49.0,0.007559691303942962,0.20237185431766905
50.0,0.007018443005998523,0.2039480133769967
51.0,0.006496311580826561,0.20529561934921695
52.0,0.005981877296651189,0.20642412699765264
53.0,0.005469283480268575,0.2073472320139649
54.0,0.004945430050912055,0.20808297291726272
55.0,0.004399912908028762,0.20866045748290138
56.0,0.0038344887539690643,0.2091015134642931
57.0,0.0032592918220045322,0.20942014826097063
58.0,0.0026895999147402974,0.20962941217061257
59.0,0.0021293762690657156,0.2097381958592802
60.0,0.0015801577137331095,0.20974953812541683
61.0,0.0010518411252196241,0.2096714253605998
62.0,5.667942695602767E-4,0.20950092399341902
63.0,1.183527716259675E-4,0.2092401498346787
64.0,-2.855064195130255E-4,0.20889278387572924
65.0,-6.369374665815206E-4,0.20846722751911043
66.0,-9.297243766643445E-4,0.2079642056897435
67.0,-0.0011606714920956223,0.2073908041382387
68.0,-0.0013320916758166991,0.20675268929524818
69.0,-0.001459839242920054,0.2060626545110383
70.0,-0.0015401631493154018,0.20532045380105945
71.0,-0.0015684181857684174,0.20453535953549912
72.0,-0.0015306430208547953,0.20371955297611027
73.0,-0.0014652598991066199,0.20288471982008327
74.0,-0.0013818538959650736,0.20204436689525168
75.0,-0.0012578323439043394,0.20121144862847737
76.0,-0.001090916047992459,0.200405883125036
77.0,-8.890102290714675E-4,0.199637563849352
78.0,-6.507893974736475E-4,0.19891000187695163
79.0,-3.999643616893044E-4,0.19823177667737155
80.0,-1.504614569182057E-4,0.197609261788851
81.0,9.534003864631897E-5,0.19704835038735538
82.0,3.4490575881756906E-4,0.19655602386746573
83.0,5.939910175582659E-4,0.1961326161648041
84.0,8.440156788207566E-4,0.1957806883768584
85.0,0.0011014716175022496,0.19550228677246384
86.0,0.0013617298648361358,0.19530164402900724
87.0,0.0016103365121399923,0.1951822774949703
88.0,0.001846347188951391,0.19514025460316545
89.0,0.002064146342866547,0.1951719524290709
90.0,0.002269550479476584,0.19527377291616563
91.0,0.002456371606995903,0.19543618681724667
92.0,0.0026385166538872573,0.19565058955356052
93.0,0.002811537592635128,0.19590462369119585
94.0,0.002974383705030879,0.19619666628724602
