#      x          Cp  
     0.99998    0.19208
     0.99567    0.10138
     0.98923    0.07007
     0.98189    0.04258
     0.97438    0.02451
     0.96667    0.01006
     0.95884   -0.00319
     0.95102   -0.01553
     0.94320   -0.02732
     0.93538   -0.03825
     0.92755   -0.04844
     0.91973   -0.05801
     0.91190   -0.06723
     0.90407   -0.07637
     0.89624   -0.08528
     0.88842   -0.09395
     0.88059   -0.10239
     0.87277   -0.11065
     0.86494   -0.11883
     0.85711   -0.12692
     0.84929   -0.13485
     0.84147   -0.14264
     0.83364   -0.15030
     0.82582   -0.15779
     0.81800   -0.16515
     0.81017   -0.17264
     0.80235   -0.18016
     0.79453   -0.18750
     0.78670   -0.19470
     0.77888   -0.20178
     0.77105   -0.20887
     0.76323   -0.21601
     0.75540   -0.22315
     0.74758   -0.23027
     0.73975   -0.23740
     0.73193   -0.24447
     0.72410   -0.25139
     0.71627   -0.25859
     0.70845   -0.26624
     0.70062   -0.27367
     0.69280   -0.28084
     0.68497   -0.28805
     0.67714   -0.29542
     0.66932   -0.30312
     0.66149   -0.31086
     0.65367   -0.31844
     0.64584   -0.32607
     0.63802   -0.33379
     0.63019   -0.34165
     0.62237   -0.34962
     0.61454   -0.35764
     0.60672   -0.36567
     0.59890   -0.37364
     0.59107   -0.38180
     0.58325   -0.39026
     0.57543   -0.39871
     0.56761   -0.40713
     0.55979   -0.41579
     0.55197   -0.42453
     0.54415   -0.43309
     0.53633   -0.44184
     0.52851   -0.45102
     0.52069   -0.46031
     0.51287   -0.46957
     0.50506   -0.47856
     0.49724   -0.48754
     0.48942   -0.49714
     0.48160   -0.50707
     0.47379   -0.51712
     0.46598   -0.52712
     0.45817   -0.53700
     0.45036   -0.54698
     0.44254   -0.55720
     0.43473   -0.56808
     0.42692   -0.57917
     0.41912   -0.58981
     0.41131   -0.60062
     0.40350   -0.61194
     0.39570   -0.62339
     0.38790   -0.63495
     0.38010   -0.64705
     0.37230   -0.65937
     0.36450   -0.67117
     0.35671   -0.68328
     0.34891   -0.69638
     0.34112   -0.70975
     0.33333   -0.72319
     0.32555   -0.73692
     0.31777   -0.75085
     0.30999   -0.76461
     0.30221   -0.77881
     0.29443   -0.79427
     0.28667   -0.80996
     0.27890   -0.82543
     0.27114   -0.84111
     0.26338   -0.85725
     0.25563   -0.87457
     0.24788   -0.89257
     0.24015   -0.91037
     0.23241   -0.92863
     0.22468   -0.94777
     0.21696   -0.96786
     0.20925   -0.98887
     0.20155   -1.01019
     0.19386   -1.03215
     0.18618   -1.05564
     0.17851   -1.08034
     0.17086   -1.10611
     0.16322   -1.13245
     0.15560   -1.15941
     0.14799   -1.18917
     0.14042   -1.22126
     0.13287   -1.25288
     0.12534   -1.28582
     0.11783   -1.32277
     0.11037   -1.36191
     0.10295   -1.40264
     0.09557   -1.44606
     0.08825   -1.49255
     0.08098   -1.54271
     0.07379   -1.59670
     0.06668   -1.65566
     0.05967   -1.71911
     0.05277   -1.78803
     0.04601   -1.86701
     0.03944   -1.95775
     0.03313   -2.06315
     0.02716   -2.18050
     0.02166   -2.31429
     0.01680   -2.46675
     0.01274   -2.64008
     0.00951   -2.80014
     0.00701   -2.95932
     0.00510   -3.16311
     0.00364   -3.33852
     0.00252   -3.48631
     0.00165   -3.67224
     0.00098   -3.90327
     0.00048   -4.27647
     0.00016   -4.49103
     0.00001   -4.44643
     0.00004   -3.72793
     0.00027   -2.57023
     0.00073   -1.29592
     0.00141   -0.31659
     0.00231    0.27863
     0.00345    0.63768
     0.00488    0.84218
     0.00668    0.95165
     0.00898    0.99614
     0.01198    0.99353
     0.01584    0.95660
     0.02068    0.89839
     0.02636    0.83112
     0.03262    0.76532
     0.03929    0.70773
     0.04630    0.65723
     0.05350    0.61169
     0.06079    0.57237
     0.06816    0.53843
     0.07561    0.50876
     0.08313    0.48263
     0.09068    0.45913
     0.09826    0.43839
     0.10587    0.42019
     0.11351    0.40370
     0.12117    0.38869
     0.12885    0.37543
     0.13654    0.36358
     0.14425    0.35268
     0.15197    0.34285
     0.15970    0.33406
     0.16744    0.32613
     0.17519    0.31896
     0.18295    0.31255
     0.19072    0.30674
     0.19850    0.30131
     0.20628    0.29635
     0.21407    0.29189
     0.22186    0.28785
     0.22966    0.28418
     0.23746    0.28092
     0.24527    0.27799
     0.25309    0.27513
     0.26090    0.27256
     0.26872    0.27048
     0.27655    0.26869
     0.28439    0.26703
     0.29223    0.26503
     0.30007    0.26283
     0.30790    0.26120
     0.31574    0.25989
     0.32358    0.25855
     0.33143    0.25736
     0.33927    0.25641
     0.34713    0.25544
     0.35498    0.25442
     0.36283    0.25375
     0.37068    0.25324
     0.37854    0.25248
     0.38640    0.25180
     0.39426    0.25151
     0.40212    0.25116
     0.40999    0.25065
     0.41785    0.25037
     0.42571    0.25023
     0.43357    0.24981
     0.44143    0.24938
     0.44929    0.24925
     0.45715    0.24914
     0.46501    0.24890
     0.47286    0.24874
     0.48071    0.24865
     0.48856    0.24841
     0.49641    0.24812
     0.50426    0.24803
     0.51211    0.24790
     0.51996    0.24756
     0.52780    0.24739
     0.53565    0.24742
     0.54349    0.24718
     0.55133    0.24675
     0.55918    0.24650
     0.56702    0.24625
     0.57486    0.24581
     0.58270    0.24548
     0.59054    0.24532
     0.59838    0.24493
     0.60621    0.24434
     0.61405    0.24390
     0.62189    0.24348
     0.62973    0.24294
     0.63756    0.24236
     0.64540    0.24180
     0.65323    0.24107
     0.66107    0.24019
     0.66891    0.23960
     0.67674    0.23909
     0.68457    0.23830
     0.69240    0.23732
     0.70024    0.23617
     0.70808    0.23520
     0.71591    0.23445
     0.72374    0.23352
     0.73157    0.23233
     0.73940    0.23072
     0.74724    0.22929
     0.75508    0.22868
     0.76290    0.22760
     0.77073    0.22563
     0.77857    0.22393
     0.78641    0.22259
     0.79424    0.22134
     0.80206    0.21991
     0.80989    0.21790
     0.81772    0.21580
     0.82556    0.21388
     0.83339    0.21197
     0.84122    0.21001
     0.84905    0.20782
     0.85688    0.20547
     0.86472    0.20311
     0.87255    0.20080
     0.88038    0.19859
     0.88820    0.19613
     0.89603    0.19326
     0.90386    0.19004
     0.91169    0.18662
     0.91953    0.18339
     0.92737    0.18045
     0.93520    0.17805
     0.94302    0.17493
     0.95084    0.17053
     0.95867    0.16657
     0.96651    0.16326
     0.97424    0.15998
     0.98180    0.15688
     0.98919    0.15404
     0.99566    0.15559
     1.00000    0.19208
