#      x          Cp  
     0.99998    0.03104
     0.99567    0.02706
     0.98923    0.02120
     0.98189    0.01454
     0.97438    0.00797
     0.96667    0.00139
     0.95884   -0.00520
     0.95102   -0.01174
     0.94320   -0.01824
     0.93538   -0.02468
     0.92755   -0.03107
     0.91973   -0.03741
     0.91190   -0.04371
     0.90407   -0.04998
     0.89624   -0.05622
     0.88842   -0.06244
     0.88059   -0.06863
     0.87277   -0.07479
     0.86494   -0.08093
     0.85711   -0.08706
     0.84929   -0.09316
     0.84147   -0.09925
     0.83364   -0.10531
     0.82582   -0.11137
     0.81800   -0.11741
     0.81017   -0.12347
     0.80235   -0.12952
     0.79453   -0.13558
     0.78670   -0.14165
     0.77888   -0.14773
     0.77105   -0.15382
     0.76323   -0.15994
     0.75540   -0.16591
     0.74758   -0.17178
     0.73975   -0.17769
     0.73193   -0.18365
     0.72410   -0.18966
     0.71627   -0.19574
     0.70845   -0.20192
     0.70062   -0.20818
     0.69280   -0.21452
     0.68497   -0.22098
     0.67714   -0.22758
     0.66932   -0.23434
     0.66149   -0.24128
     0.65367   -0.24842
     0.64584   -0.25579
     0.63802   -0.26344
     0.63019   -0.27139
     0.62237   -0.27969
     0.61454   -0.28840
     0.60672   -0.29756
     0.59890   -0.30724
     0.59107   -0.31753
     0.58325   -0.32849
     0.57543   -0.34022
     0.56761   -0.35282
     0.55979   -0.36641
     0.55197   -0.38111
     0.54415   -0.39708
     0.53633   -0.41448
     0.52851   -0.43349
     0.52069   -0.45432
     0.51287   -0.47720
     0.50506   -0.50239
     0.49724   -0.53021
     0.48942   -0.56200
     0.48160   -0.59708
     0.47379   -0.63331
     0.46598   -0.67015
     0.45817   -0.70852
     0.45036   -0.74879
     0.44254   -0.79142
     0.43473   -0.83694
     0.42692   -0.88611
     0.41912   -0.93600
     0.41131   -0.93896
     0.40350   -0.94182
     0.39570   -0.94459
     0.38790   -0.94732
     0.38010   -0.95000
     0.37230   -0.95266
     0.36450   -0.95531
     0.35671   -0.95796
     0.34891   -0.96061
     0.34112   -0.96328
     0.33333   -0.96597
     0.32555   -0.96869
     0.31777   -0.97146
     0.30999   -0.97428
     0.30221   -0.97717
     0.29443   -0.98013
     0.28667   -0.98317
     0.27890   -0.98631
     0.27114   -0.98956
     0.26338   -0.99294
     0.25563   -0.99647
     0.24788   -1.00015
     0.24015   -1.00403
     0.23241   -1.00812
     0.22468   -1.01245
     0.21696   -1.01705
     0.20925   -1.02196
     0.20155   -1.02723
     0.19386   -1.03291
     0.18618   -1.03905
     0.17851   -1.04573
     0.17086   -1.05302
     0.16322   -1.06104
     0.15560   -1.06990
     0.14799   -1.07973
     0.14042   -1.09069
     0.13287   -1.10301
     0.12534   -1.11693
     0.11783   -1.13273
     0.11037   -1.15076
     0.10295   -1.17140
     0.09557   -1.19514
     0.08825   -1.22246
     0.08098   -1.25388
     0.07379   -1.28986
     0.06668   -1.33090
     0.05967   -1.37787
     0.05277   -1.43166
     0.04601   -1.49321
     0.03944   -1.56339
     0.03313   -1.64297
     0.02716   -1.73232
     0.02166   -1.83161
     0.01680   -1.93882
     0.01274   -2.04923
     0.00951   -2.15679
     0.00701   -2.26089
     0.00510   -2.36113
     0.00364   -2.45235
     0.00252   -2.53886
     0.00165   -2.62732
     0.00098   -2.71500
     0.00048   -2.77946
     0.00016   -2.73999
     0.00001   -2.49075
     0.00004   -1.93514
     0.00027   -1.14114
     0.00073   -0.32356
     0.00141    0.27673
     0.00231    0.63955
     0.00345    0.84562
     0.00488    0.95370
     0.00668    0.99568
     0.00898    0.99491
     0.01198    0.96039
     0.01584    0.90432
     0.02068    0.83377
     0.02636    0.76151
     0.03262    0.69341
     0.03929    0.63545
     0.04630    0.58593
     0.05350    0.54257
     0.06079    0.50501
     0.06816    0.47264
     0.07561    0.44456
     0.08313    0.41998
     0.09068    0.39822
     0.09826    0.37896
     0.10587    0.36191
     0.11351    0.34668
     0.12117    0.33300
     0.12885    0.32077
     0.13654    0.30981
     0.14425    0.29992
     0.15197    0.29101
     0.15970    0.28299
     0.16744    0.27576
     0.17519    0.26925
     0.18295    0.26339
     0.19072    0.25809
     0.19850    0.25326
     0.20628    0.24888
     0.21407    0.24490
     0.22186    0.24130
     0.22966    0.23804
     0.23746    0.23509
     0.24527    0.23242
     0.25309    0.22998
     0.26090    0.22777
     0.26872    0.22579
     0.27655    0.22401
     0.28439    0.22238
     0.29223    0.22081
     0.30007    0.21932
     0.30790    0.21797
     0.31574    0.21675
     0.32358    0.21562
     0.33143    0.21460
     0.33927    0.21367
     0.34713    0.21282
     0.35498    0.21204
     0.36283    0.21135
     0.37068    0.21073
     0.37854    0.21014
     0.38640    0.20961
     0.39426    0.20915
     0.40212    0.20873
     0.40999    0.20833
     0.41785    0.20797
     0.42571    0.20765
     0.43357    0.20732
     0.44143    0.20701
     0.44929    0.20673
     0.45715    0.20647
     0.46501    0.20621
     0.47286    0.20595
     0.48071    0.20570
     0.48856    0.20543
     0.49641    0.20516
     0.50426    0.20489
     0.51211    0.20461
     0.51996    0.20430
     0.52780    0.20399
     0.53565    0.20368
     0.54349    0.20333
     0.55133    0.20295
     0.55918    0.20255
     0.56702    0.20212
     0.57486    0.20166
     0.58270    0.20118
     0.59054    0.20067
     0.59838    0.20013
     0.60621    0.19953
     0.61405    0.19891
     0.62189    0.19825
     0.62973    0.19754
     0.63756    0.19679
     0.64540    0.19600
     0.65323    0.19515
     0.66107    0.19425
     0.66891    0.19332
     0.67674    0.19234
     0.68457    0.19130
     0.69240    0.19019
     0.70024    0.18901
     0.70808    0.18778
     0.71591    0.18651
     0.72374    0.18517
     0.73157    0.18374
     0.73940    0.18222
     0.74724    0.18064
     0.75508    0.17904
     0.76290    0.17735
     0.77073    0.17551
     0.77857    0.17360
     0.78641    0.17163
     0.79424    0.16959
     0.80206    0.16745
     0.80989    0.16516
     0.81772    0.16274
     0.82556    0.16023
     0.83339    0.15760
     0.84122    0.15485
     0.84905    0.15195
     0.85688    0.14890
     0.86472    0.14571
     0.87255    0.14236
     0.88038    0.13884
     0.88820    0.13512
     0.89603    0.13114
     0.90386    0.12690
     0.91169    0.12238
     0.91953    0.11761
     0.92737    0.11257
     0.93520    0.10725
     0.94302    0.10146
     0.95084    0.09506
     0.95867    0.08810
     0.96651    0.08050
     0.97424    0.07212
     0.98180    0.06283
     0.98919    0.05217
     0.99566    0.04119
     1.00000    0.03104
