AIRFOIL EXAMPLE
    1.000000      0.0000000E+00
   0.9962500      6.2000001E-04
   0.9855600      2.7500000E-03
   0.9689800      6.3399998E-03
   0.9469800      1.0760000E-02
   0.9194700      1.5750000E-02
   0.8866400      2.1550000E-02
   0.8491000      2.8290000E-02
   0.8074700      3.5950001E-02
   0.7624600      4.4429999E-02
   0.7148000      5.3569999E-02
   0.6652000      6.3120000E-02
   0.6143700      7.2820000E-02
   0.5630000      8.2330003E-02
   0.5117200      9.1329999E-02
   0.4610900      9.9469997E-02
   0.4116400      0.1064300    
   0.3638300      0.1119300    
   0.3180400      0.1157000    
   0.2746300      0.1175600    
   0.2338900      0.1173500    
   0.1960900      0.1149500    
   0.1613700      0.1103100    
   0.1298900      0.1035100    
   0.1017500      9.4549999E-02
   7.6820001E-02  8.3600000E-02
   5.5059999E-02  7.1160004E-02
   3.6680002E-02  5.7730000E-02
   2.1849999E-02  4.3710001E-02
   1.0720000E-02  2.9490000E-02
   3.4200000E-03  1.5520000E-02
   9.9999997E-05  2.3900000E-03
   0.0000000E+00  0.0000000E+00
   0.0000000E+00  0.0000000E+00
   1.5200000E-03 -8.9199999E-03
   8.5800001E-03 -1.9110000E-02
   2.0810001E-02 -2.9270001E-02
   3.7379999E-02 -3.8840000E-02
   5.7999998E-02 -4.7330000E-02
   8.2500003E-02 -5.4290000E-02
   0.1108300     -5.9330001E-02
   0.1429600     -6.2150002E-02
   0.1791000     -6.2470000E-02
   0.2196300     -6.0550001E-02
   0.2644300     -5.7119999E-02
   0.3128500     -5.2730002E-02
   0.3642200     -4.7699999E-02
   0.4178500     -4.2289998E-02
   0.4729900     -3.6720000E-02
   0.5288900     -3.1199999E-02
   0.5848000     -2.5869999E-02
   0.6399400     -2.0889999E-02
   0.6935500     -1.6349999E-02
   0.7448900     -1.2340000E-02
   0.7932400     -8.9199999E-03
   0.8378900     -6.1100000E-03
   0.8782000     -3.9200000E-03
   0.9135500     -2.3099999E-03
   0.9434000     -1.1800000E-03
   0.9673500     -3.8000001E-04
   0.9851200      5.9999998E-05
   0.9962100      7.9999998E-05
    1.000000      0.0000000E+00
