  
       XFOIL         Version 6.99
  
 Calculated polar for: AG16                                            
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.300     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
   0.000   0.2481   0.00539   0.00077  -0.0539   0.6602   0.5694
   0.100   0.2598   0.00538   0.00077  -0.0538   0.6488   0.5896
   0.200   0.2714   0.00537   0.00078  -0.0537   0.6377   0.6105
   0.300   0.2830   0.00535   0.00080  -0.0537   0.6262   0.6343
   0.400   0.2946   0.00533   0.00081  -0.0536   0.6148   0.6597
   0.500   0.3061   0.00530   0.00083  -0.0535   0.6029   0.6883
   0.600   0.3174   0.00526   0.00084  -0.0534   0.5917   0.7218
   0.700   0.3285   0.00519   0.00087  -0.0532   0.5804   0.7615
   0.800   0.3388   0.00508   0.00089  -0.0528   0.5697   0.8156
   0.900   0.3459   0.00488   0.00090  -0.0516   0.5601   0.8987
   1.000   0.3593   0.00480   0.00088  -0.0517   0.5480   1.0000
   1.100   0.3711   0.00486   0.00090  -0.0517   0.5370   1.0000
   1.200   0.3830   0.00492   0.00091  -0.0516   0.5253   1.0000
   1.300   0.3948   0.00499   0.00093  -0.0516   0.5142   1.0000
   1.400   0.4066   0.00506   0.00095  -0.0516   0.5027   1.0000
   1.500   0.4184   0.00513   0.00097  -0.0515   0.4915   1.0000
   1.600   0.4302   0.00519   0.00100  -0.0515   0.4802   1.0000
   1.700   0.4420   0.00527   0.00102  -0.0515   0.4687   1.0000
   1.800   0.4538   0.00534   0.00105  -0.0514   0.4575   1.0000
   1.900   0.4656   0.00541   0.00108  -0.0514   0.4463   1.0000
   2.000   0.4774   0.00549   0.00111  -0.0514   0.4352   1.0000
   2.100   0.4892   0.00556   0.00115  -0.0513   0.4237   1.0000
   2.300   0.5128   0.00572   0.00122  -0.0512   0.4004   1.0000
   2.400   0.5246   0.00581   0.00126  -0.0512   0.3892   1.0000
   2.500   0.5363   0.00589   0.00130  -0.0512   0.3782   1.0000
   2.600   0.5481   0.00598   0.00135  -0.0511   0.3664   1.0000
   2.700   0.5598   0.00606   0.00139  -0.0511   0.3548   1.0000
   2.800   0.5716   0.00616   0.00144  -0.0510   0.3427   1.0000
   2.900   0.5833   0.00625   0.00149  -0.0510   0.3310   1.0000
   3.000   0.5951   0.00635   0.00154  -0.0509   0.3194   1.0000
   3.100   0.6068   0.00645   0.00160  -0.0508   0.3075   1.0000
   3.200   0.6185   0.00655   0.00166  -0.0508   0.2962   1.0000
   3.300   0.6302   0.00665   0.00173  -0.0507   0.2849   1.0000
   3.400   0.6419   0.00676   0.00179  -0.0507   0.2734   1.0000
   3.500   0.6536   0.00687   0.00186  -0.0506   0.2621   1.0000
   3.600   0.6653   0.00697   0.00193  -0.0505   0.2509   1.0000
   3.700   0.6770   0.00709   0.00200  -0.0504   0.2400   1.0000
   3.800   0.6886   0.00720   0.00208  -0.0504   0.2289   1.0000
   3.900   0.7003   0.00732   0.00216  -0.0503   0.2180   1.0000
   4.000   0.7119   0.00744   0.00224  -0.0502   0.2072   1.0000
   4.100   0.7236   0.00757   0.00233  -0.0501   0.1965   1.0000
   4.200   0.7352   0.00770   0.00242  -0.0500   0.1865   1.0000
   4.300   0.7469   0.00782   0.00251  -0.0499   0.1760   1.0000
   4.400   0.7585   0.00795   0.00261  -0.0498   0.1667   1.0000
   4.500   0.7701   0.00808   0.00272  -0.0497   0.1570   1.0000
   4.600   0.7817   0.00822   0.00282  -0.0496   0.1470   1.0000
   4.700   0.7932   0.00837   0.00293  -0.0495   0.1362   1.0000
   4.900   0.8162   0.00869   0.00317  -0.0493   0.1155   1.0000
   5.000   0.8278   0.00885   0.00330  -0.0491   0.1058   1.0000
   5.100   0.8392   0.00902   0.00343  -0.0490   0.0969   1.0000
   5.200   0.8507   0.00919   0.00358  -0.0489   0.0878   1.0000
   5.300   0.8621   0.00937   0.00373  -0.0487   0.0786   1.0000
   5.400   0.8735   0.00956   0.00388  -0.0486   0.0694   1.0000
   5.600   0.8961   0.00998   0.00423  -0.0482   0.0523   1.0000
   5.700   0.9074   0.01018   0.00440  -0.0481   0.0452   1.0000
   5.800   0.9187   0.01039   0.00459  -0.0479   0.0388   1.0000
   5.900   0.9300   0.01060   0.00479  -0.0477   0.0331   1.0000
   6.000   0.9414   0.01081   0.00499  -0.0475   0.0283   1.0000
   6.100   0.9527   0.01102   0.00520  -0.0473   0.0240   1.0000
   6.200   0.9640   0.01124   0.00542  -0.0470   0.0202   1.0000
   6.300   0.9750   0.01152   0.00569  -0.0468   0.0167   1.0000
   6.400   0.9864   0.01174   0.00593  -0.0466   0.0143   1.0000
   6.500   0.9974   0.01204   0.00626  -0.0463   0.0122   1.0000
   6.600   1.0085   0.01230   0.00654  -0.0460   0.0107   1.0000
   6.700   1.0191   0.01270   0.00697  -0.0456   0.0094   1.0000
   6.800   1.0303   0.01294   0.00726  -0.0453   0.0086   1.0000
   7.000   1.0517   0.01365   0.00805  -0.0447   0.0072   1.0000
   7.100   1.0622   0.01404   0.00851  -0.0443   0.0068   1.0000
   7.200   1.0729   0.01439   0.00891  -0.0439   0.0065   1.0000
   7.300   1.0835   0.01476   0.00935  -0.0436   0.0062   1.0000
   7.400   1.0939   0.01516   0.00980  -0.0432   0.0059   1.0000
   7.500   1.1041   0.01557   0.01027  -0.0428   0.0057   1.0000
   7.600   1.1141   0.01603   0.01079  -0.0423   0.0055   1.0000
   7.700   1.1236   0.01657   0.01140  -0.0419   0.0053   1.0000
   7.800   1.1319   0.01732   0.01224  -0.0413   0.0052   1.0000
   7.900   1.1401   0.01808   0.01310  -0.0407   0.0051   1.0000
   8.000   1.1493   0.01868   0.01380  -0.0401   0.0050   1.0000
